Question,Accepted Answer,Paraphrased Question
pandas - how to organised dataframe based on date and assign new values to column,"<p>You can groupby on index and use <a href=""https://pandas.pydata.org/pandas-docs/stable/generated/pandas.core.groupby.DataFrameGroupBy.agg.html"" rel=""nofollow noreferrer""><code>groupby.agg</code></a> with a custom function.</p>

<pre><code>df1 = res.groupby(res.index.date).agg({'v1': lambda x: x[min(x.index)], 'v2':lambda x: x[max(x.index)]})

print (df1)

             v1      v2
2017-04-03  35.7    82.6
2017-04-04  24.3    70.6
2017-04-28  31.7    33.7
</code></pre>

<p>An alternative to resample dataframe to get 1st and last value from each day.</p>

<pre><code>res=df.reset_index().groupby(df.index.date).agg(['first','last']).stack().set_index('index')

Out[123]:

                      v1     v2
index       
2017-04-03 09:15:00  35.7   35.4
2017-04-03 16:30:00  82.7   82.6
2017-04-04 09:15:00  24.3   24.2
2017-04-04 16:30:00  70.2   70.6
2017-04-28 09:15:00  31.7   31.4
2017-04-28 16:30:00  33.0   33.7
</code></pre>
",Pandas - what are the methods to sort a DataFrame by date and update a specific column with new values?
Why does the prev node become set as Circular instead of _Node after adding a new node to a linked list?,"<p>Here <code>Circular</code> is not an object type, it means that <code>console.log</code> found a reference to the object it's printing so it stopped going further in a loop. The <code>head.next.prev</code> is still of type <code>_Node</code> but it's the <code>_Node</code> object we're already displaying.</p>

<p>When <code>console.log(main())</code> attempts to show you what <code>head.next</code> is, it does the best it can. What it finds is that <code>head.next</code> is the ""Boomer"" item, and its <code>prev</code> value points back to <code>head</code>. So when it tries to show you <code>head.next.prev</code> it sees that it points back to the object (head) that it's trying to show you. That's a circular condition because if it tries to go further it will start showing ""Apollo"" again so it stops and outputs ""[Circular]"" to let you know it stopped for that reason.  I'll try to draw it out:</p>

<pre><code>_Node: Apollo  &lt;----------+  // this is the circular part
       next: Boomer  -+   |
       prev: null     |   |
_Node: Boomer  &lt;------+   |
       next: Helo         |
       prev: Apollo  -----+
</code></pre>

<p>If it tried to follow <code>head.next.prev</code> it would be back to <code>head</code> again and be in an infinite loop, which it detects and stops.</p>
",What causes the previous node to be designated as Circular rather than _Node when inserting a new node into a linked list?
Why String.indexOf do not use exception but return -1 when substring not found?,"<p>As a rule of thumb, if the purpose of a method is to check for something, then the lack of that something shouldn't be an exception.  If the method is assuming that something is true, then the absence of that something would be an exception.  Thus ""File.exists()"" doesn't throw a FileNotFoundException, but ""File.open()"" does. </p>
",What is the rationale behind String.indexOf returning -1 instead of throwing an exception when a substring is absent?
Maven Embedder - running hibernate3:hbm2java programmatically,"<p>I managed to fix the issue. Thank you Tunaki for the link to the Minimal, Complete, and Verifiable example. By exercising these techniques I managed to solve the issue. </p>

<p>Based on the answer from Mykel Alvis  <a href=""https://stackoverflow.com/a/30439890"">https://stackoverflow.com/a/30439890</a> 
I adjusted my pom to the following:</p>

<pre><code>&lt;dependency&gt;
    &lt;groupId&gt;org.slf4j&lt;/groupId&gt;
    &lt;artifactId&gt;slf4j-simple&lt;/artifactId&gt;
    &lt;version&gt;1.7.5&lt;/version&gt;
&lt;/dependency&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.apache.maven&lt;/groupId&gt;
    &lt;artifactId&gt;maven-embedder&lt;/artifactId&gt;
    &lt;version&gt;3.3.3&lt;/version&gt;
&lt;/dependency&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.eclipse.aether&lt;/groupId&gt;
    &lt;artifactId&gt;aether-connector-basic&lt;/artifactId&gt;
    &lt;version&gt;1.0.2.v20150114&lt;/version&gt;
&lt;/dependency&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.eclipse.aether&lt;/groupId&gt;
    &lt;artifactId&gt;aether-transport-wagon&lt;/artifactId&gt;
    &lt;version&gt;1.0.2.v20150114&lt;/version&gt;
&lt;/dependency&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.apache.maven.wagon&lt;/groupId&gt;
    &lt;artifactId&gt;wagon-http&lt;/artifactId&gt;
    &lt;version&gt;2.9&lt;/version&gt;
&lt;/dependency&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.apache.maven.wagon&lt;/groupId&gt;
    &lt;artifactId&gt;wagon-provider-api&lt;/artifactId&gt;
    &lt;version&gt;2.9&lt;/version&gt;
&lt;/dependency&gt;
&lt;dependency&gt;
    &lt;groupId&gt;org.apache.maven.wagon&lt;/groupId&gt;
    &lt;artifactId&gt;wagon-http-lightweight&lt;/artifactId&gt;
    &lt;version&gt;2.9&lt;/version&gt;
&lt;/dependency&gt;
</code></pre>

<p>Furthermore, I disabled all the other dependencies that weren't being used for this part of the application to work. The combination of above dependencies and commenting unused dependencies solved the issue.</p>

<p>The working extracted version is on <a href=""https://github.com/Weirdfishees/reverse-engineering.git"" rel=""nofollow noreferrer"">https://github.com/Weirdfishees/reverse-engineering.git</a></p>
",Using Maven Embedder to Execute Hibernate3:hbm2java via Code
How do I get last modified date from a Hadoop Sequence File?,"<p>Hi i think that you want is the modification time of each input File that enters in your mapper. If it is the case you just have to add a few lines to the mpkorstanje solution:</p>

<pre class=""lang-java prettyprint-override""><code>FileSystem fs = FileSystem.get(URI.create(uri), conf);
long moddificationTime = fs
    .getFileStatus((FileSplit)context.getInputSplit())
    .getPath()).lastModified();
</code></pre>

<p>With this few changes you can get the fileStatus of each inputSlipt and you can add it to your key in order to use later in your process or make a multipleOutput reduce and write somewhere else in your reduce phase.</p>

<p>I hope this will be usefull</p>
",What is the method to retrieve the most recent modification timestamp from a Hadoop Sequence File?
jQuery cookie breaking my CSS toggle input,"<p>Both of your fiddles have jQuery still. It is just one doesn't have the cookies library included. The one that doesn't have the cookies library is the one that works because your click handler is never setup. </p>

<p>This is because your code errors out on the first line of <code>ShowPrices()</code></p>

<pre><code>if($.cookie('VATMODE') == ""INC""){
</code></pre>

<p>Because the cookie library isn't there <code>$.cookie</code> isn't defined therefore throws an error. If you open up the console (F12 -> console tab, on most browsers) you would see some error like <code>Uncaught TypeError: $.cookie is not a function</code> This error then has the effect of the rest of your code in the function not running</p>

<pre><code>ShowPrices(); //error happens in ShowPrices, execution stops here does not continue

$('input#togBtn').click(function(){
  //...
});
</code></pre>

<p>The reason the one with the cookies library doesn't work is because the error is never thrown and your click handler is setup. And you <code>return false</code> in that handler, which prevents the default action of the checkbox changing state</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>jQuery(""#thecheck"").click(function(){ return false });</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js""&gt;&lt;/script&gt;
&lt;input type=""checkbox"" id=""thecheck""&gt;</code></pre>
</div>
</div>
</p>

<p>If you want the checkbox to be toggle-able take out the <code>return false</code> statement.</p>
",jQuery cookie interfering with my CSS switch functionality
Is this right? A jQuery bug that erases the data store?,"<blockquote>
  <p>Why is there ultimately any difference?</p>
</blockquote>

<p>Both <code>thisx</code> and <code>this.x</code> are evaluated when the function is called. The first one refers to an undefined variable name and this throws a reference error. The second one accesses an undefined property of an object, which results in the value <code>undefined</code>. This is just how javascript behaves in these cases.</p>

<p>Now when JQuery is called in the second case, the call <code>$(this.x)</code> evaluates to <code>$(undefined)</code> which is the same as if you just would have called <code>$()</code>. Since it looks to JQuery as if no argument was provided, it uses a default instead, and in this case the default is <code>document</code>. Then it proceeds trying to delete <code>document</code>, since it was effectively called as  <code>$().remove()</code>, in which case this would be expected.</p>

<blockquote>
  <p>Suggestions for how to handle this?</p>
</blockquote>

<p>The difference with the <code>ReferenceError</code> is a fundamental Javascript difference, not much that can be done about that. JQuerys behavior is unfortunate and a consequence of setting defaults by <code>arg = arg||default</code>. One could user <code>arguments.length</code> instead to get the real number of call parameters, but a change like this would surely result in lot's of broken code that relied on the default being used when <code>undefined</code> or <code>0</code> is passed, so it's unlikely to happen.</p>
",Could this be accurate? A jQuery issue that deletes the data storage?
AngularJS communication from controller to directive,"<p>My personal preference would be to use an event.</p>

<p><strong>Using watch</strong></p>

<p>The only downside to this (that I can see) is that it introduces a small performance hit and depending on the code base, little things add up eventually.</p>

<p><strong>Using a control object</strong></p>

<p>I think this introduces strong coupling between the directive and the controller. Plus imagine a new developer to the project comes in and sees <code>this.controlObject.fn()</code> and they're like ... where's fn defined? And then you start searching. </p>

<p>Plus, what happens if you have a different directive that needs to know something from the controller? A new control object, a new function defined .. I don't like it.</p>

<p><strong>Using an event</strong></p>

<p>With a generically named event like ""component.x-updated"" you keep coupling to a minimum and more than that, a new directive (or modal popup .. or whatever) just needs to react to the event.</p>
",How to facilitate interaction between a controller and a directive in AngularJS?
Shaking algorithm,"<p>Put the result in a new String. That way, you won't have to handle the index shifting on each permutation.</p>

<pre><code>public static String caesarAlgorithm(String word) {
    char[] arr = word.toCharArray();
    String result = """";
    for (int i=0; i&lt;arr.length/2; i++) {
        // get the i-th letter from the end and put it in the result string
        result += arr[arr.length-1-i]; // -1 because index starts at 0
        // get the i-th letter from the begining and put it in the result string
        result += arr[i];
    }
    if (arr.length%2 != 0) {
        // in case the number of characters is odd, add the middle character to the end of the string
        result += arr[arr.length%2+1];
    }
    return result;
}
</code></pre>

<p>Side Note:</p>

<p>The method name is missleading as it is not a ceasar cipher algorithm. With a caesar cipher, you change all of the character values with the same offset, but their index doesn't change.</p>
",Algorithm for Shaking Motion
Unable to import the CustomOperator defined in a python script in plugins folder,"<p>Do it without the quotes: <code>python_callable=print_operator_third</code>. This way you are passing a <code>callable</code> instead of a <code>string</code>.</p>
",Struggling to load the CustomOperator specified in a Python script located within the plugins directory.
